iter	Passed	Remaining
0	1	1004
1	1	959
2	2	884
3	3	843
4	4	848
5	5	829
6	5	843
7	6	828
8	7	807
9	7	788
10	8	773
11	9	757
12	9	742
13	10	729
14	10	714
15	11	704
16	12	701
17	12	701
18	13	692
19	13	683
20	14	677
21	15	672
22	15	667
23	16	661
24	16	656
25	17	656
26	18	666
27	19	663
28	19	659
29	20	656
30	20	655
31	21	652
32	22	650
33	22	646
34	23	643
35	24	643
36	24	641
37	25	639
38	25	636
39	26	633
40	27	633
41	27	631
42	28	628
43	28	626
44	29	625
45	30	626
46	30	626
47	31	627
48	32	627
49	32	626
50	33	625
51	34	623
52	34	621
53	35	618
54	35	618
55	36	617
56	37	615
57	37	614
58	38	612
59	39	611
60	39	610
61	40	609
62	40	608
63	41	607
64	42	606
65	42	605
66	43	604
67	44	603
68	44	603
69	45	606
70	46	605
71	46	604
72	47	604
73	48	604
74	49	607
75	50	610
76	50	611
77	51	611
78	52	611
79	53	610
80	53	608
81	54	606
82	54	602
83	55	600
84	55	599
85	56	600
86	57	600
87	57	598
88	58	597
89	59	602
90	60	602
91	60	600
92	61	600
93	62	600
94	62	599
95	63	599
96	64	599
97	65	600
98	65	599
99	66	598
100	67	597
101	67	596
102	68	595
103	68	594
104	69	593
105	70	591
106	70	589
107	71	588
108	71	588
109	73	594
110	75	602
111	75	602
112	76	603
113	77	602
114	78	601
115	78	599
116	79	596
117	79	595
118	80	594
119	80	592
120	81	591
121	82	590
122	82	588
123	83	588
124	83	587
125	84	586
126	84	583
127	85	585
128	86	585
129	87	585
130	88	584
131	88	582
132	89	580
133	89	580
134	90	578
135	90	576
136	91	575
137	91	574
138	92	573
139	93	572
140	93	571
141	94	569
142	94	568
143	95	567
144	96	567
145	96	566
146	97	565
147	97	563
148	98	562
149	100	566
150	100	566
151	101	565
152	102	564
153	102	563
154	103	562
155	103	561
156	104	559
157	104	559
158	105	559
159	106	558
160	106	556
161	107	556
162	108	557
163	109	556
164	109	555
165	110	555
166	111	554
167	111	553
168	112	553
169	113	552
170	113	551
171	114	550
172	115	549
173	115	548
174	116	546
175	116	546
176	117	545
177	117	544
178	118	543
179	119	543
180	119	542
181	120	541
182	121	540
183	121	539
184	122	538
185	122	537
186	123	536
187	124	535
188	124	535
189	125	536
190	126	535
191	127	535
192	127	533
193	128	532
194	128	531
195	129	530
196	130	530
197	130	529
198	131	528
199	131	527
200	132	526
201	133	526
202	133	525
203	134	525
204	135	524
205	135	523
206	136	522
207	136	521
208	137	520
209	138	519
210	139	520
211	139	519
212	140	519
213	141	518
214	141	518
215	142	517
216	143	516
217	143	516
218	144	515
219	145	514
220	145	513
221	146	512
222	146	511
223	147	510
224	147	509
225	148	508
226	149	507
227	149	507
228	150	506
229	150	505
230	151	504
231	152	503
232	152	502
233	153	501
234	153	500
235	154	500
236	155	499
237	155	498
238	156	497
239	157	497
240	157	496
241	158	495
242	158	494
243	159	493
244	160	493
245	160	492
246	161	491
247	161	490
248	162	490
249	163	489
250	164	489
251	164	488
252	165	487
253	165	487
254	166	486
255	167	485
256	167	485
257	168	485
258	169	484
259	169	483
260	170	482
