iter	Passed	Remaining
0	150	150203
1	151	75448
2	151	50430
3	152	37912
4	152	30405
5	153	25422
6	154	21868
7	154	19192
8	155	17107
9	155	15440
10	156	14073
11	157	12933
12	157	11965
13	158	11142
14	158	10426
15	159	9806
16	160	9260
17	160	8768
18	161	8326
19	161	7929
20	162	7573
21	162	7243
22	163	6943
23	163	6668
24	164	6413
25	165	6182
26	165	5970
27	166	5781
28	167	5602
29	167	5427
30	168	5268
31	169	5116
32	169	4972
33	170	4836
34	170	4707
35	171	4591
36	172	4488
37	173	4383
38	173	4280
39	174	4181
40	174	4089
41	175	4002
42	176	3917
43	176	3837
44	177	3764
45	178	3692
46	178	3622
47	179	3554
48	179	3489
49	180	3427
50	180	3367
51	181	3309
52	182	3255
53	182	3202
54	183	3152
55	184	3103
56	184	3055
57	185	3008
58	186	2968
59	186	2925
60	187	2882
61	187	2840
62	188	2801
63	188	2762
64	189	2724
65	190	2691
66	190	2657
67	191	2623
68	191	2589
69	192	2557
70	193	2525
71	193	2494
72	194	2464
73	194	2435
74	195	2409
75	196	2385
76	197	2361
77	197	2338
78	198	2313
79	198	2288
80	199	2263
81	200	2239
82	200	2212
83	200	2190
84	201	2170
85	202	2152
86	203	2131
87	203	2111
88	204	2092
89	204	2072
90	205	2053
91	206	2034
92	206	2015
93	207	1997
94	207	1981
95	208	1966
96	209	1950
97	210	1933
98	210	1919
99	211	1903
100	212	1887
101	212	1871
102	213	1855
103	213	1840
104	214	1826
105	215	1813
106	215	1800
107	216	1786
108	216	1772
109	217	1759
110	218	1746
111	218	1734
112	219	1720
113	219	1708
114	220	1696
115	221	1685
116	221	1673
117	222	1662
118	223	1651
119	223	1639
120	224	1628
121	224	1616
122	225	1605
123	225	1595
124	226	1585
125	227	1576
126	227	1565
127	228	1555
128	229	1547
129	229	1537
130	230	1527
131	230	1517
132	231	1508
133	231	1499
134	232	1490
135	233	1482
136	234	1474
137	234	1465
138	235	1457
139	235	1449
140	236	1440
141	236	1431
142	237	1422
143	238	1415
144	239	1412
145	240	1405
146	241	1398
147	241	1390
148	242	1382
149	242	1375
150	243	1367
151	243	1360
152	244	1354
153	245	1347
154	245	1340
155	246	1334
156	247	1327
157	247	1320
158	248	1313
159	248	1306
160	249	1299
161	249	1292
162	264	1357
163	265	1351
164	265	1345
165	266	1339
166	267	1332
167	267	1325
168	268	1319
169	268	1312
170	269	1306
171	270	1300
172	270	1295
173	271	1289
174	272	1284
175	273	1279
176	273	1273
177	274	1267
178	275	1261
179	275	1255
180	276	1249
181	276	1244
182	277	1240
183	278	1235
184	279	1229
185	279	1224
186	280	1218
187	280	1213
188	281	1208
189	282	1203
190	282	1198
191	283	1194
192	284	1188
193	284	1183
194	285	1178
195	286	1173
196	286	1168
197	287	1163
198	287	1158
199	288	1153
200	289	1149
201	289	1144
202	290	1139
203	291	1135
204	291	1131
205	292	1126
206	292	1121
207	293	1117
208	293	1112
209	294	1107
210	295	1104
211	296	1101
212	296	1096
213	297	1092
214	298	1088
215	298	1083
216	299	1079
217	299	1075
218	300	1071
219	301	1067
220	301	1064
221	302	1060
222	303	1057
223	304	1054
224	305	1052
225	306	1049
226	307	1047
227	308	1043
228	309	1040
229	309	1036
230	310	1033
231	311	1029
232	311	1026
233	312	1022
234	313	1019
235	313	1016
236	314	1012
237	315	1008
238	315	1005
239	316	1001
240	316	997
241	317	993
242	317	990
243	318	986
244	319	983
245	320	980
246	320	977
247	321	974
248	322	971
249	322	967
250	323	964
251	323	961
252	324	957
253	324	954
254	325	951
255	326	948
256	327	945
257	327	942
258	328	938
259	328	935
260	329	932
261	329	928
262	330	925
263	331	923
264	331	920
265	332	917
266	333	914
267	333	911
268	334	908
269	334	905
270	335	902
271	336	899
272	336	896
273	337	893
274	337	890
275	338	888
276	339	885
277	339	882
278	340	879
279	340	876
280	341	873
281	342	870
282	342	868
283	343	865
284	343	862
285	344	860
286	345	858
287	346	855
288	346	852
289	347	850
290	347	847
291	348	845
292	349	842
293	349	840
294	350	837
295	351	835
296	351	832
297	352	830
298	353	827
299	353	824
300	354	822
301	354	819
302	355	816
303	355	814
304	356	812
305	357	809
306	357	807
307	358	805
308	359	802
309	359	800
310	360	797
311	360	795
312	361	792
313	361	790
314	362	788
315	363	786
316	363	783
317	364	781
318	364	778
319	365	776
320	365	773
321	366	771
322	366	769
323	367	766
324	368	764
325	368	762
326	369	760
327	369	757
328	370	755
329	371	753
330	371	751
331	372	749
332	372	746
333	373	744
334	374	742
335	374	740
336	375	738
337	376	736
338	376	734
339	377	732
340	377	730
341	378	727
342	378	725
343	379	723
344	379	721
345	380	719
346	381	717
347	381	715
348	382	713
349	382	711
350	383	709
351	384	707
352	384	704
353	385	703
354	386	701
355	386	699
356	387	697
